Topic,Count,Name,Representation,Representative_Docs
-1,9388,-1_learning_algorithms_models_deep,"['learning', 'algorithms', 'models', 'deep', 'learn', 'networks', 'optimization', 'neural', 'information', 'data']","['Data-dependent compression of random features for large-scale kernel approximation Kernel methods offer the flexibility to learn complex relationships in modern, large data sets while enjoying strong theoretical guarantees on quality. Unfortunately, these methods typically require cubic running time in the data set size, a prohibitive cost in the large- data setting. Random feature maps (RFMs) and the Nystroöm method both consider low- rank approximations to the kernel matrix as a potential solution. But, in order to achieve desirable theoretical guarantees, the former may require a prohibitively large number of features J+, and the latter may be prohibitively expensive for high-dimensional problems. We propose to combine the simplicity and generality of RFMs with a data-dependent feature selection scheme to achieve desirable theoretical approximation properties of Nyström with just $O(\\log J+)$ features. Our key insight is to begin with a large set of random features, then reduce them to a small number of weighted features in a data-dependent, computationally efficient way, while preserving the statistical guarantees of using the original large set of features. We demonstrate the efficacy of our method with theory and experiments-including on a data set with over 50 million observations. In particular, we show that our method achieves small kernel matrix approximation error and better test set accuracy with provably fewer random features than state-of-the-art methods.', 'Double Nyström Method: An Efficient and Accurate Nyström Scheme for Large-Scale Data Sets The Nyström method has been one of the most effective techniques for kernel-based approach that scales well to large data sets. Since its introduction, there has been a large body of work that improves the approximation accuracy while maintaining computational efficiency. In this paper, we present a novel Nyström method that improves both accuracy and efficiency based on a new theoretical analysis. We first provide a generalized sampling scheme, CAPS, that minimizes a novel error bound based on the subspace distance. We then present our double Nyström method that reduces the size of the decomposition in two stages. We show that our method is highly efficient and accurate compared to other state-of-the-art Nyström methods by evaluating them on a number of real data sets.', 'Goal-Aware Prediction: Learning to Model What Matters Learned dynamics models combined with both planning and policy learning algorithms have shown promise in enabling artificial agents to learn to perform many diverse tasks with limited supervision. However, one of the fundamental challenges in using a learned forward dynamics model is the mismatch between the objective of the learned model (future state reconstruction), and that of the downstream planner or policy (completing a specified task). This issue is exacerbated by vision-based control tasks in diverse real-world environments, where the complexity of the real world dwarfs model capacity. In this paper, we propose to direct prediction towards task relevant information, enabling the model to be aware of the current task and encouraging it to only model relevant quantities of the state space, resulting in a learning objective that more closely matches the downstream task. Further, we do so in an entirely self-supervised manner, without the need for a reward function or image labels. We find that our method more effectively models the relevant parts of the scene conditioned on the goal, and as a result outperforms standard task-agnostic dynamics models and model-free reinforcement learning.']"
0,1,variational autoencoders,"['autoencoder', 'variational', 'lossy', '', '', '', '', '', '', '']",['Variational lossy autoencoder ']
1,2,probabilistic graphical models,"['probabilistic', 'models', 'graphical', 'conference', 'preface', 'on', 'of', 'eighth', '9th', 'proceedings']","['Proceedings of the 9th International Conference on Probabilistic Graphical Models ', 'Proceedings of the Eighth International Conference on Probabilistic Graphical Models Preface']"
2,1,regression models,"['regressions', 'models', '101', '', '', '', '', '', '', '']",['Regressions Models 101 ']
3,1,evolutionary algorithms,"['evolutionary', 'algorithms', 'understanding', '', '', '', '', '', '', '']",['Understanding Evolutionary Algorithms ']
4,3,grammatical inferences,"['inference', 'grammatical', 'conference', 'preface', 'the', 'international', '12th', 'for', 'on', '']","['Preface Preface for the 12th International Conference on Grammatical Inference.', 'International Conference on Grammatical Inference 2016: Preface ', 'International Conference on Grammatical Inference 2018: Preface ']"
5,14,5_preface_abstract_the_,"['preface', 'abstract', 'the', '', '', '', '', '', '', '']","['Preface ', 'Preface ', 'Preface ']"
6,12,6_preface___,"['preface', '', '', '', '', '', '', '', '', '']","['Preface ', 'Preface ', 'Preface ']"
7,60,7_quantum_quantumclassical_qubit_qubits,"['quantum', 'quantumclassical', 'qubit', 'qubits', 'quantuminspired', 'qnns', 'qnn', 'qap', 'qas', 'unitary']","['Quantum Policy Gradient Algorithm with Optimized Action Decoding Quantum machine learning implemented by variational quantum circuits (VQCs) is considered a promising concept for the noisy intermediate-scale quantum computing era. Focusing on applications in quantum reinforcement learning, we propose an action decoding procedure for a quantum policy gradient approach. We introduce a quality measure that enables us to optimize the classical post-processing required for action selection, inspired by local and global quantum measurements. The resulting algorithm demonstrates a significant performance improvement in several benchmark environments. With this technique, we successfully execute a full training routine on a 5-qubit hardware device. Our method introduces only negligible classical overhead and has the potential to improve VQC-based algorithms beyond the field of quantum reinforcement learning.', 'Policy Gradient based Quantum Approximate Optimization Algorithm The quantum approximate optimization algorithm (QAOA), as a hybrid quantum/classical algorithm, has received much interest recently. QAOA can also be viewed as a variational ansatz for quantum control.  However, its direct application to emergent quantum technology encounters additional physical constraints: (i) the states of the quantum system are not observable; (ii) obtaining the derivatives of the objective function can be computationally expensive or even inaccessible in experiments, and (iii) the values of the objective function may be sensitive to various sources of uncertainty, as is the case for noisy intermediate-scale quantum (NISQ) devices. Taking such constraints into account, we show that policy-gradient-based reinforcement learning (RL) algorithms are well suited for optimizing the variational parameters of QAOA in a noise-robust fashion, opening up the way for developing RL techniques for continuous quantum control. This is advantageous to help mitigate and monitor the potentially unknown sources of errors in modern quantum simulators.  We analyze the performance of the algorithm for quantum state transfer problems in single- and multi-qubit systems, subject to various sources of noise such as error terms in the Hamiltonian, or quantum uncertainty in the measurement process. We show that, in noisy setups, it is capable of outperforming state-of-the-art existing optimization algorithms. ', 'Information-theoretic generalization bounds for learning from quantum data Learning tasks play an increasingly prominent role in quantum information and computation. They range from fundamental problems such as state discrimination and metrology over the framework of quantum probably approximately correct (PAC) learning, to the recently proposed shadow variants of state tomography. However, the many directions of quantum learning theory have so far evolved separately. We propose a mathematical formalism for describing quantum learning by training on classical-quantum data and then testing how well the learned hypothesis generalizes to new data. In this framework, we prove bounds on the expected generalization error of a quantum learner in terms of classical and quantum information-theoretic quantities measuring how strongly the learner’s hypothesis depends on the data seen during training. To achieve this, we use tools from quantum optimal transport and quantum concentration inequalities to establish non-commutative versions of decoupling lemmas that underlie classical information-theoretic generalization bounds. Our framework encompasses and gives intuitive generalization bounds for a variety of quantum learning scenarios such as quantum state discrimination, PAC learning quantum states, quantum parameter estimation, and quantumly PAC learning classical functions. Thereby, our work lays a foundation for a unifying quantum information-theoretic perspective on quantum learning.']"
8,166,8_openaiapplechatgptapple_openai_chatgpt_openaiapple,"['openaiapplechatgptapple', 'openai', 'chatgpt', 'openaiapple', 'chatgptenterprise', 'enterpriseaigritlabpaf70chatgpt', 'teamchatgpt', 'enterpriseapi', 'translations', 'healthopenai']","['ChatGPT をすぐに使い始める 利用登録が不要で AI の機能を簡単に体験できるようになります', 'OpenAI におけるエンタープライズプライバシー 信頼とプライバシーは OpenAI の使命の中核を成すものです。ChatGPT Team、ChatGPT Enterprise、API プラットフォームのプライバシーとセキュリティを保護しています。', 'OpenAI における企業プライバシー 信頼とプライバシーは OpenAI の使命の中核を成すものです。ChatGPT Team、ChatGPT Enterprise、API プラットフォームのプライバシーとセキュリティを保護しています。']"
